year,disaster type,disaster group,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage ('000 US$)
1900,Storm,Natural,1,6000,,,,,30000
1903,Flood,Natural,2,250,,,,,480000
1903,Storm,Natural,1,98,,,,,
1906,Earthquake,Natural,1,2000,,,,,524000
1906,Storm,Natural,2,298,,,,,
1909,Flood,Natural,1,72,,,,,
1909,Storm,Natural,2,391,,,,,
1910,Storm,Natural,1,30,,,,,
1913,Storm,Natural,1,732,,,,,200000
1915,Earthquake,Natural,1,6,,,,,1000
1915,Storm,Natural,1,525,,,,,60000
1918,Earthquake,Natural,1,116,,,,,29000
1918,Storm,Natural,1,34,,,,,
1918,Wildfire,Natural,1,1000,,,,,100000
1919,Storm,Natural,1,500,,,,,25000
1920,Storm,Natural,1,224,,,,,
1925,Earthquake,Natural,1,13,,,,,8000
1925,Storm,Natural,1,739,,,,,18000
1926,Storm,Natural,2,268,,,,,73000
1927,Flood,Natural,1,246,,,,,230
1927,Storm,Natural,1,87,,,,,22000
1928,Storm,Natural,1,1836,,,,,25000
1932,Storm,Natural,2,372,,,,,
1933,Drought,Natural,1,,,,,,
1933,Earthquake,Natural,1,116,,,,,38500
1933,Storm,Natural,1,40,,,,,
1935,Storm,Natural,1,408,,,,,6000
1936,"Extreme temperature ",Natural,1,1193,,,,,
1936,Flood,Natural,1,200,,,,,
1936,Storm,Natural,1,455,,,,,21000
1937,Flood,Natural,1,137,,,,,438000
1938,Landslide,Natural,1,200,,,,,
1938,Storm,Natural,1,600,,,,,306000
1940,Earthquake,Natural,1,9,,,,,33000
1940,Storm,Natural,1,50,,,,,
1943,Flood,Natural,1,,,,,,900000
1944,Storm,Natural,1,390,,,,,100000
1944,Wildfire,Natural,1,121,,,,,
1945,Storm,Natural,3,196,,,,,
1946,Earthquake,Natural,1,165,,,,,25000
1946,Storm,Natural,1,33,,,,,
1947,Storm,Natural,4,308,,,,,100000
1947,Wildfire,Natural,1,,,,,,30000
1948,Flood,Natural,1,55,,,,,
1948,Storm,Natural,1,42,,,,,
1949,Earthquake,Natural,1,8,,,,,80000
1949,Storm,Natural,2,87,,,,,
1950,Flood,Natural,1,33,,,,,
1950,Storm,Natural,3,272,,,,,100000
1951,"Extreme temperature ",Natural,2,69,,,,,100000
1951,Flood,Natural,1,41,,,,,1029000
1952,Earthquake,Natural,3,16,,,,,80900
1952,Storm,Natural,2,279,,,,,
1953,Storm,Natural,6,468,,,,,52000
1954,Storm,Natural,3,223,,,,,731000
1955,"Extreme temperature ",Natural,1,107,,,,,
1955,Flood,Natural,1,74,,,,,
1955,Storm,Natural,4,365,,,,,832000
1956,Storm,Natural,3,232,,,,,
1956,Wildfire,Natural,1,11,,,,,
1957,Storm,Natural,3,469,,,,,150000
1958,"Extreme temperature ",Natural,1,,,,,,520000
1958,Storm,Natural,3,139,,,,,
1959,Earthquake,Natural,1,28,,,,,26000
1959,Storm,Natural,1,71,,,,,
1960,Earthquake,Natural,1,61,,,,,
1960,Storm,Natural,1,50,,,,,387000
1961,Storm,Natural,2,146,,,,,408000
1962,Storm,Natural,3,158,,,,,350000
1963,"Extreme temperature ",Natural,1,150,,,,,
1963,Storm,Natural,2,229,,,,,
1964,Earthquake,Natural,1,131,,,,,1020000
1964,Flood,Natural,2,109,,,,,820000
1964,Storm,Natural,3,183,,,,,250000
1965,Earthquake,Natural,1,7,,,,,28000
1965,Storm,Natural,2,570,1000,,,1000,1610000
1966,"Extreme temperature ",Natural,2,262,,,,,
1966,Storm,Natural,4,290,,,,,100000
1967,Storm,Natural,5,275,,,,,200000
1968,Storm,Natural,3,159,,458,,458,8000
1969,Flood,Natural,1,115,,,,,400000
1969,Storm,Natural,6,715,,,,,1420000
1970,Storm,Natural,2,37,,,,,597000
1970,Wildfire,Natural,1,,,,,,100000
1971,Earthquake,Natural,1,65,1000,,,1000,535000
1971,Storm,Natural,2,158,,,,,
1972,"Extreme temperature ",Natural,1,10,,,,,
1972,Flood,Natural,1,237,,3000,,3000,120000
1972,Landslide,Natural,1,400,,,,,
1972,Storm,Natural,2,256,,,,,2100000
1973,"Extreme temperature ",Natural,1,22,,,,,
1973,Flood,Natural,2,56,,,,,500000
1973,Storm,Natural,2,50,,246,,246,50000
1974,Storm,Natural,2,352,,,,,1000000
1975,Storm,Natural,4,102,,200,,200,550000
1976,Flood,Natural,1,139,,,,,41000
1977,"Extreme temperature ",Natural,1,,,,,,2800000
1977,Flood,Natural,3,140,,2700,,2700,200000
1977,Storm,Natural,2,91,,,,,
1978,Flood,Natural,1,27,,,,,
1978,Storm,Natural,4,215,,,,,100000
1979,Storm,Natural,4,186,160,2000,,2160,2863000
1980,Earthquake,Natural,1,,2,,,2,
1980,"Extreme temperature ",Natural,1,1260,,,,,2000000
1980,Flood,Natural,3,36,,111000,6000,117000,350000
1980,Storm,Natural,3,12,170,,400,570,910000
1980,"Volcanic activity",Natural,1,90,,,2500,2500,860000
1981,Flood,Natural,1,30,,,,,
1981,Storm,Natural,3,30,,,,,861000
1982,Flood,Natural,2,11,,,,,33900
1982,Storm,Natural,11,503,,36000,15500,51500,2112000
1983,Earthquake,Natural,3,2,53,1500,,1553,52250
1983,"Extreme temperature ",Natural,1,188,,,,,
1983,Flood,Natural,2,10,,,,,400000
1983,Storm,Natural,6,132,,,6000,6000,4655000
1984,Flood,Natural,3,28,,,5500,5500,65000
1984,Storm,Natural,11,517,657,14000,,14657,2545600
1985,Flood,Natural,5,12,,5550,,5550,12500
1985,Storm,Natural,10,363,500,1000000,20000,1020500,5081600
1986,Earthquake,Natural,1,,29,150,,179,720
1986,"Extreme temperature ",Natural,1,48,,,,,1750000
1986,Flood,Natural,3,13,,2000,,2000,25000
1986,Storm,Natural,2,1,80,,,80,70000
1987,Earthquake,Natural,2,8,94,2200,,2294,217000
1987,"Extreme temperature ",Natural,1,80,,,,,
1987,Storm,Natural,8,151,,3200,,3200,204000
1988,Drought,Natural,1,,,,,,
1988,Flood,Natural,3,,,,,,
1988,Storm,Natural,18,27,,,,,
1989,Earthquake,Natural,2,67,3757,300,15,4072,5600000
1989,"Extreme temperature ",Natural,1,84,,,,,
1989,Storm,Natural,16,108,100,,25000,25100,7880000
1990,Earthquake,Natural,2,,30,120,,150,12700
1990,"Extreme temperature ",Natural,2,11,,,,,40000
1990,Flood,Natural,4,38,,3350,,3350,45000
1990,Storm,Natural,15,162,,10668,,10668,635000
1991,Drought,Natural,2,,,,,,1335000
1991,Earthquake,Natural,1,2,100,,,100,33500
1991,Flood,Natural,14,15,,,,,850000
